Clinical Commissioning Group (CCG),Avg. waiting time 2019/20 (days),Avg. waiting time 2020/21 (days),Avg. waiting time change (days)
NHS CANNOCK CHASE CCG,57,81,24
NHS ISLE OF WIGHT CCG,45,56,11
NHS BARKING AND DAGENHAM CCG,8,18,10
NHS STAFFORD AND SURROUNDS CCG,55,64,9
NHS TELFORD AND WREKIN CCG,17,26,9
NHS ROTHERHAM CCG,12,20,8
NHS NORTH EAST HAMPSHIRE AND FARNHAM CCG,61,67,6
NHS OLDHAM CCG,33,39,6
NHS SOUTH EAST STAFFORDSHIRE AND SEISDON PENINSULA CCG,53,58,5
NHS SOUTH EASTERN HAMPSHIRE CCG,61,65,4
